OpenJDK 64-Bit Server VM (24.95-b01) for linux-amd64 JRE (1.7.0_95-b00), built on Jan 21 2016 03:31:40 by "buildd" with gcc 4.8.4
Memory: 4k page, physical 4048216k(2715072k free), swap 0k(0k free)
CommandLine flags: -XX:+CMSClassUnloadingEnabled -XX:+CMSScavengeBeforeRemark -XX:+DisableExplicitGC -XX:InitialHeapSize=1073741824 -XX:+ManagementServer -XX:MaxHeapSize=1073741824 -XX:MaxNewSize=174485504 -XX:MaxTenuringThreshold=6 -XX:NewSize=174485504 -XX:OldPLABSize=16 -XX:OldSize=348971008 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:+UseParNewGC 
2016-04-03T19:02:38.440+0000: 4.951: [GC [1 CMS-initial-mark: 0K(878208K)] 81828K(1031552K), 0.0210400 secs] [Times: user=0.02 sys=0.00, real=0.03 secs] 
2016-04-03T19:02:38.461+0000: 4.973: [CMS-concurrent-mark-start]
2016-04-03T19:02:38.489+0000: 5.001: [CMS-concurrent-mark: 0.028/0.028 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2016-04-03T19:02:38.489+0000: 5.001: [CMS-concurrent-preclean-start]
2016-04-03T19:02:38.555+0000: 5.067: [CMS-concurrent-preclean: 0.049/0.066 secs] [Times: user=0.07 sys=0.00, real=0.07 secs] 
2016-04-03T19:02:38.556+0000: 5.067: [CMS-concurrent-abortable-preclean-start]
 CMS: abort preclean due to time 2016-04-03T19:02:43.638+0000: 10.150: [CMS-concurrent-abortable-preclean: 0.121/5.082 secs] [Times: user=0.24 sys=0.02, real=5.08 secs] 
2016-04-03T21:14:44.838+0000: 7931.350: [GC2016-04-03T21:14:44.838+0000: 7931.350: [ParNew: 139890K->2556K(153344K), 0.0186760 secs] 185292K->48973K(1031552K), 0.0192740 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2016-04-03T21:15:52.959+0000: 7999.471: [GC2016-04-03T21:15:52.959+0000: 7999.471: [ParNew: 138876K->1093K(153344K), 0.0201020 secs] 185293K->47980K(1031552K), 0.0208370 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2016-04-03T21:17:01.056+0000: 8067.567: [GC2016-04-03T21:17:01.056+0000: 8067.568: [ParNew: 137413K->1240K(153344K), 0.0109020 secs] 184300K->48129K(1031552K), 0.0116230 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2016-04-03T21:18:07.952+0000: 8134.464: [GC2016-04-03T21:18:07.952+0000: 8134.464: [ParNew: 137560K->2083K(153344K), 0.0126700 secs] 184449K->48976K(1031552K), 0.0132320 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2016-04-03T21:19:14.815+0000: 8201.327: [GC2016-04-03T21:19:14.816+0000: 8201.327: [ParNew: 138403K->3203K(153344K), 0.0133560 secs] 185296K->50106K(1031552K), 0.0142930 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2016-04-03T21:20:23.039+0000: 8269.551: [GC2016-04-03T21:20:23.039+0000: 8269.551: [ParNew: 139523K->4721K(153344K), 0.0152010 secs] 186426K->51648K(1031552K), 0.0158770 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2016-04-03T21:21:31.678+0000: 8338.190: [GC2016-04-03T21:21:31.679+0000: 8338.190: [ParNew: 141041K->6391K(153344K), 0.0202890 secs] 187968K->53393K(1031552K), 0.0210100 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2016-04-03T21:22:40.444+0000: 8406.956: [GC2016-04-03T21:22:40.445+0000: 8406.956: [ParNew: 142711K->8120K(153344K), 0.0209800 secs] 189713K->55332K(1031552K), 0.0215960 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2016-04-03T21:23:49.239+0000: 8475.751: [GC2016-04-03T21:23:49.239+0000: 8475.751: [ParNew: 144440K->9668K(153344K), 0.0218820 secs] 191652K->57438K(1031552K), 0.0224770 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2016-04-03T21:24:57.982+0000: 8544.494: [GC2016-04-03T21:24:57.982+0000: 8544.494: [ParNew: 145988K->6563K(153344K), 0.0291920 secs] 193758K->55102K(1031552K), 0.0298920 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2016-04-03T21:26:05.633+0000: 8612.144: [GC2016-04-03T21:26:05.633+0000: 8612.145: [ParNew: 142883K->7709K(153344K), 0.0260310 secs] 191422K->57112K(1031552K), 0.0268320 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2016-04-03T21:27:11.714+0000: 8678.226: [GC2016-04-03T21:27:11.715+0000: 8678.226: [ParNew: 144029K->11426K(153344K), 0.0302060 secs] 193432K->61740K(1031552K), 0.0309060 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
